Divs,Source,VAP,Lemma,VAP_values,ADV,Target,Target_lemma,Phrase Complete
Section_02.,je,suppose,supposer,3.29,NAN,"que ce défaut s' explique par l' inutilité , sinon à des fins philosophiques , de placer ces perceptions sous une appellation ou un terme général","que ce défaut se expliquer par le inutilité , sinon à un fin philosophique , de placer ce perception sou un appellation ou un terme général","Celles de l'autre classe n'a pas de nom dans notre langue, ni dans la plupart des autres langues, et je suppose que ce défaut s'explique par l'inutilité, sinon à des fins philosophiques, de placer ces perceptions sous une appellation ou un terme général."
Section_02.,nous,trouverons,trouver,5.85,NAN,"qu' elle est en réalité resserrée en de très étroites limites , et que tout le pouvoir de création de l' esprit se ramène à rien de plus que la faculté de mêler , transposer , accroître ou diminuer les matériaux que nous offrent les sens et l' expérience","que lui être en réalité resserrer en de très étroit limite , et que tout le pouvoir de création de le esprit se ramener à rien de plus que le faculté de mêler , transposer , accroître ou diminuer le matériau que nous offrir le sens et le expérience","Mais, bien que notre pensée semble posséder une liberté illimitée, nous trouverons, en l'examinant de plus près, qu'elle est en réalité resserrée en de très étroites limites, et que tout le pouvoir de création de l'esprit se ramène à rien de plus que la faculté de mêler, transposer, accroître ou diminuer les matériaux que nous offrent les sens et l'expérience."
Section_02.,nous,trouverons,trouver,5.85,toujours,qu' elles se décomposent en idées simples du genre de celles qui ont été les copies de sensations ou de sentiments,que lui se décomposer en idée simple de genre de celui qui avoir être le copie de sensation ou de sentiment,"Premièrement, quand nous analysons nos pensées ou idées, quelque composées ou sublimes qu'elles soient, nous trouverons toujours qu'elles se décomposent en idées simples du genre de celles qui ont été les copies de sensations ou de sentiments."
Section_02.,nous,trouverons,trouver,5.85,toujours,que chaque idée examinée est la copie d' une impression semblable,que chaque idée examiner être le copie de un impression semblable,"Nous pouvons poursuivre cette enquête aussi loin qu'il nous plaira, nous trouverons toujours que chaque idée examinée est la copie d'une impression semblable."
Section_02.,nous,trouverons,trouver,5.85,toujours,qu' il est fermé de même façon aux idées correspondantes,que il être fermer de même façon à idée correspondant,"Deuxièmement, s'il arrive, par le défaut d'un organe, qu'un homme soit fermé à une espèce de sensations, nous trouverons toujours qu'il est fermé de même façon aux idées correspondantes."
Section_02.,Je,crois,croire,5.03,NAN,que peu nombreux sont,que peu nombreux être,Je crois que peu nombreux sont ceux qui penseront qu'il ne le peut pas.
Section_03.,nous,trouverons,trouver,5.85,NAN,"que l' imagination ne court pas entièrement à l' aventure , mais qu' il y a toujours une connexion qui se maintient entre les différentes idées qui se succèdent","que le imagination ne courir pas entièrement à le aventure , mais que il y avoir toujours un connexion qui se maintenir entrer le différent idée qui se succéder","Et même dans nos rêveries les plus folles et les plus délirantes, et pour mieux dire dans tous nos rêves, nous trouverons, à y réfléchir, que l'imagination ne court pas entièrement à l'aventure, mais qu'il y a toujours une connexion qui se maintient entre les différentes idées qui se succèdent."
Section_03.,nous,trouverons,trouver,5.85,NAN,"que les différents moments de l' action ont une unité suffisante pour faire qu' elles soient comprises en une seule fable , en un seul récit","que le différent moment de le action avoir un unité suffisant pour faire que lui être comprendre en un seul fable , en un seul récit","si nous considérons toutes ces circonstances, dis-je, nous trouverons que les différents moments de l'action ont une unité suffisante pour faire qu'elles soient comprises en une seule fable, en un seul récit."
Section_03.,nous,voyons,voir,5,NAN,"que ces affections , éveillées par un objet , passent aisément à un autre qui lui est lié , mais se transmettent avec difficulté , ou pas du tout , entre des objets différents qui n' ont aucune sorte de connexion entre eux","que ce affection , éveiller par un objet , passer aisément à un autre qui luire être lier , mais se transmettre avec difficulté , ou pas de tout , entrer un objet différent qui ne avoir aucun sorte de connexion entrer lui","En particulier, la sympathie entre l'imagination et les passions paraîtra peut-être remarquable, quand nous voyons que ces affections, éveillées par un objet, passent aisément à un autre qui lui est lié, mais se transmettent avec difficulté, ou pas du tout, entre des objets différents qui n'ont aucune sorte de connexion entre eux."
Section_04.,nous,trouverons,trouver,5.85,NAN,"qu' ils sont fondés sur la relation de cause à effet , et que cette relation est proche ou éloignée , directe ou collatérale","que il être fonder sur le relation de cause à effet , et que ce relation être proche ou éloigné , direct ou collatéral","Si nous analysons tous les autres raisonnements de cette nature, nous trouverons qu'ils sont fondés sur la relation de cause à effet, et que cette relation est proche ou éloignée, directe ou collatérale."
