Divs,Source,VAP,Lemma,VAP_values,ADV,Target,Target_lemma,Phrase Complete
L1_CH_01,Je,reconnais,reconnaître,6.85,donc,"qu’ il faut nécessairement que les Hommes fassent usage de leur Raison , avant que de parvenir à la connaissance de ces vérités générales","qu’ il falloir nécessairement que le homme faire usage de son raison , avant que de parvenir à le connaissance de ce vérité général","Je reconnais donc qu’il faut nécessairement que les Hommes fassent usage de leur Raison, avant que de parvenir à la connaissance de ces vérités générales : mais encore un coup, je nie que le temps auquel ils commencent à se servir de leur Raison, soit justement celui auquel ils viennent à découvrir ces vérités."
L1_CH_01,je,nie,nier,nan,donc,"que le temps auquel ils commencent à se servir de leur Raison , soit justement celui auquel ils viennent à découvrir ces vérités .","que le temps auquel il commencer à se servir de son raison , être justement celui auquel il venir à découvrir ce vérité .","Je reconnais donc qu’il faut nécessairement que les Hommes fassent usage de leur Raison, avant que de parvenir à la connaissance de ces vérités générales : mais encore un coup, je nie que le temps auquel ils commencent à se servir de leur Raison, soit justement celui auquel ils viennent à découvrir ces vérités."
L1_CH_01,je,nie,nier,nan,NAN,qu’ il s’ ensuivît de là qu’ elles fussent innées,qu’ il s’ ensuivre de là qu’ lui être inné,"et quand cela serait, je nie qu’il s’ensuivît de là qu’elles fussent innées."
L1_CH_01,nous,trouverons,trouver,5.85,NAN,"que ces sortes de vérités sont composées d’ idées qui ne sont nullement innées , mais acquises","que ce sorte de vérité être composer d’ idée qui ne être nullement inné , mais acquérir","En effet, si nous y prenons garde, nous trouverons que ces sortes de vérités sont composées d’idées qui ne sont nullement innées, mais acquises :"
L1_CH_01,je,reconnais,reconnaître,6.85,NAN,que nous pouvons tous tomber,que nous pouvoir tout tomber,"Inconvenient, dans lequel je reconnais que nous pouvons tous tomber, lors que nous nous échauffons la tête à force de penser à quelque sujet avec trop d’application."
L1_CH_01,je,suppose,supposer,3.29,NAN,qu’ il n’ y a point d’ autre Maxime de pure spéculation qu’ on ait droit de faire passer pour innée,qu’ il n’ y avoir point d’ autre maxime de pur spéculation qu’ on avoir droit de faire passer pour inné,"Or si ces deux célèbres Principes spéculatifs ne sont point innés, je suppose, sans qu’il soit nécessaire de le prouver, qu’il n’y a point d’autre Maxime de pure spéculation qu’on ait droit de faire passer pour innée."
L1_CH_02,nous,trouverons,trouver,5.85,NAN,"qu’ en eux - mêmes ils n’ ont point tant de respect pour ces sortes de Règles , ni une fort grande persuasion de leur certitude , et de l’ obligation où ils sont de les observer","qu’ en lui - même il n’ avoir point tant de respect pour ce sorte de règle , ni un fort grand persuasion de son certitude , et de l’ obligation où il être de le observer","En effet, si nous ne voulons par civilité attribuer à la plûpart des hommes plus de sincerité qu’ils n’en ont effectivement, mais que nous regardions leurs actions comme les interprêtes de leurs pensées, nous trouverons qu’en eux-mêmes ils n’ont point tant de respect pour ces sortes de Règles, ni une fort grande persuasion de leur certitude, et de l’obligation où ils sont de les observer."
L1_CH_02,nous,trouverons,trouver,5.85,Enfin,"qu’ en un Lieu ils font scrupule de faire , ou de négliger certaines choses , pendant qu’ ailleurs d’ autres croient mériter récompense en s’ abstenant des mêmes choses que ceux -là font par un motif de conscience , ou en faisant ce que ces premiers n’ oseraient faire","qu’ en un lieu il faire scrupule de faire , ou de négliger certain chose , pendant qu’ ailleurs d’ autre croire mériter récompense en s’ abstenir de même chose que celui -là faire par un motif de conscience , ou en faire ce que ce premier n’ oser faire","Enfin, si nous jettons les yeux hors de chez-nous, pour voir ce qui se passe dans le reste du Monde, et considérer les hommes tels qu’ils sont effectivement, nous trouverons qu’en un Lieu ils font scrupule de faire, ou de négliger certaines choses, pendant qu’ailleurs d’autres croient mériter récompense en s’abstenant des mêmes choses que ceux-là font par un motif de conscience, ou en faisant ce que ces premiers n’oseraient faire."
L1_CH_03,Je,suppose,supposer,3.29,NAN,qu’ on le met au nombre des Principes innés,qu’ on le mettre au nombre de principe inné,"Je suppose qu’on le met au nombre des Principes innés, et je suis assuré qu’il peut y être mis avec autant de raison, qu’aucun autre Principe que ce"
L1_CH_03,J’,trouvé,trouver,5.85,NAN,que cette Nation n’ a aucun mot qui signifie Dieu et l’ Ame de l’ Homme,que ce nation n’ avoir aucun mot qui signifier dieu et l’ ame de l’ homme,"c’est-à-dire, « J’ai trouvé que cette Nation n’a aucun mot qui signifie Dieu et l’Ame de l’Homme ;"
L1_CH_03,nous,voyons,voir,5,NAN,"que , parce que cette idée ne nous vient pas par les mêmes voyes que les autres idées , nous ne la connaissons point du tout , d’ une manière distincte   : de sorte que le mot de Substance n’ emporte autre chose à notre égard , qu’ un certain sujet indéterminé que nous ne connaissons point ,","que , parce que ce idée ne nous venir pas par le même voye que le autre idée , nous ne le connaître point de tout , d’ un manière distinct   : de sorte que le mot de substance n’ emporter autre chose à notre égard , qu’ un certain sujet indéterminé que nous ne connaître point ,","Mais nous voyons au contraire, que, parce que cette idée ne nous vient pas par les mêmes voyes que les autres idées, nous ne la connaissons point du tout, d’une manière distincte : de sorte que le mot de Substance n’emporte autre chose à notre égard, qu’un certain sujet indéterminé que nous ne connaissons point,"
L1_CH_03,je,vois,voir,5,bien,que rien n’ était plus court et plus aisé que de conclure que ces Propositions étaient innées,que rien n’ être plus court et plus aisé que de conclure que ce proposition être inné,"Les hommes ayant une fois trouvé certaines Propositions générales, qu’on ne saurait révoquer en doute, dès qu’on les comprend, je vois bien que rien n’était plus court et plus aisé que de conclure que ces Propositions étaient innées."
L2_CH_01,nous,trouverons,trouver,5.85,NAN,que c’ est à quoi se reduisent toutes nos idées,que c’ être à quoi se reduiser tout notre idée,"Si nous faisons une exacte revue de toutes ces idées, et de leurs differens modes, combinaisons, et relations, nous trouverons que c’est à quoi se reduisent toutes nos idées ; et que nous n’avons rien dans l’Esprit qui n’y vienne par l’une de ces deux voyes."
L2_CH_01,Nous,savons,savoir,8.65,certainement,que nous pensons quelquefois,que nous penser quelquefois,Nous savons certainement par expérience que nous pensons quelquefois ;
L2_CH_01,Je,vois,voir,5,donc,que l’ Ame pense avant que les Sens lui ayent fourni des idées pour être l’ objet de ses pensées,que l’ Ame penser avant que le sens luire ayent fournir un idée pour être l’ objet de son pensée,"Je ne vois donc aucune raison de croire, que l’Ame pense avant que les Sens lui ayent fourni des idées pour être l’objet de ses pensées ;"
L2_CH_01,je,conçois,concevoir,6,NAN,"que l’ Entendement commence à recevoir des Idées , justement dans le temps qu’ il vient à recevoir des sensations , et par conséquent que les idées commencent d’ y être produites dans le même temps que la sensation , qui est une impression , ou un mouvement excité dans quelque partie du Corps , qui produit quelque perception dans l’ Entendement","que l’ entendement commencer à recevoir un idée , justement dans le temps qu’ il venir à recevoir un sensation , et par conséquent que le idée commencer d’ y être produire dans le même temps que le sensation , qui être un impression , ou un mouvement exciter dans quelque partie de corps , qui produire quelque perception dans l’ entendement","Car puisqu’il ne paraît aucune idée dans l’Ame, avant que les Sens y en ayent introduit, je conçois que l’Entendement commence à recevoir des Idées, justement dans le temps qu’il vient à recevoir des sensations, et par conséquent que les idées commencent d’y être produites dans le même temps que la sensation, qui est une impression, ou un mouvement excité dans quelque partie du Corps, qui produit quelque perception dans l’Entendement."
L2_CH_04,nous,éprouvons,éprouver,8,NAN,"que , tandis qu’ ils sont entre nos mains , ils empêchent , par une force invincible , l’ approche des parties de nos mains qui les pressent","que , tandis qu’ il être entrer notre main , il empêcher , par un force invincible , l’ approche de party de notre main qui le pressentir","et nous éprouvons tous les jours en maniant des Corps, que, tandis qu’ils sont entre nos mains, ils empêchent, par une force invincible, l’approche des parties de nos mains qui les pressent."
L2_CH_04,nous,concevons,concevoir,6,NAN,"que le Corps remplit l’ Espace   : autre idée qui emporte , que par tout où nous concevons que cette substance occupe de telle sorte cet espace , qu’ elle en exclut toute autre substance solide  ","que le corps remplir l’ espace   : autre idée qui emporter , que par tout où nous concevoir que ce substance occuper de tel sorte ce espace , qu’ lui en exclure tout autre substance solide  ","Or par cette idée qui appartient au Corps, nous concevons que le Corps remplit l’Espace : autre idée qui emporte, que par tout où nous concevons que cette substance occupe de telle sorte cet espace, qu’elle en exclut toute autre substance solide ;"
L2_CH_04,nous,concevons,concevoir,6,NAN,"que cette substance occupe de telle sorte cet espace , qu’ elle en exclut toute autre substance solide","que ce substance occuper de tel sorte ce espace , qu’ lui en exclure tout autre substance solide","Or par cette idée qui appartient au Corps, nous concevons que le Corps remplit l’Espace : autre idée qui emporte, que par tout où nous concevons que cette substance occupe de telle sorte cet espace, qu’elle en exclut toute autre substance solide ;"
L2_CH_08,nous,jugeons,juger,7.4,NAN,"que la blancheur et la mollesse sont produites dans la Cire non comme des Qualités qui existent actuellement dans le Soleil , mais comme des effets de puissance qu’ il a d’ amollir et de blanchir","que le blancheur et le mollesse être produire dans le cire non comme un qualité qui exister actuellement dans le soleil , mais comme un effet de puissance qu’ il avoir d’ amollir et de blanchir","Mais lors que nous considerons le Soleil par rapport à la Cire qu’il amollit ou blanchit, nous jugeons que la blancheur et la mollesse sont produites dans la Cire non comme des Qualités qui existent actuellement dans le Soleil, mais comme des effets de puissance qu’il a d’amollir et de blanchir."
