Divs,Source,VAP,Lemma,VAP_values,ADV,Target,Target_lemma,Phrase Complete
meditation_1,j’,éprouvé,éprouver,8,quelquefois,"que ces sens étaient trompeurs ,","que ce sens être trompeur ,","Or j’ai quelquefois éprouvé que ces sens étaient trompeurs, et il est de la prudence de ne se fier jamais entièrement à ceux qui nous ont une fois trompés."
meditation_1,je,vois,voir,5,manifestement,"qu’ il n’ y a point d’ indices concluants , ni de marques assez certaines par où l’ on puisse distinguer nettement la veille d’ avec le sommeil , que j’ en suis tout étonné , et mon étonnement est tel , qu’ il est presque capable de me persuader que je dors","qu’ il n’ y avoir point d’ indice concluant , ni de marque assez certain par où l’ on pouvoir distinguer nettement le veille d’ avec le sommeil , que j’ en être tout étonner , et mon étonnement être tel , qu’ il être presque capable de me persuader que je dormir","Et m’arrêtant sur cette pensée je vois si manifestement qu’il n’y a point d’indices concluants, ni de marques assez certaines par où l’on puisse distinguer nettement la veille d’avec le sommeil, que j’en suis tout étonné, et mon étonnement est tel, qu’il est presque capable de me persuader que je dors."
meditation_1,je,juge,juger,7.4,quelquefois,"que les autres se méprennent , même dans les choses qu’ ils pensent savoir avec le plus de certitude","que le autre se méprendre , même dans le chose qu’ il penser savoir avec le plus de certitude","Et même comme je juge quelquefois que les autres se méprennent, même dans les choses qu’ils pensent savoir avec le plus de certitude, il se peut faire qu’il ait voulu que je me trompe toutes les fois que je fais l’addition de deux et de trois, ou que je nombre les côtés d’un carré, ou que je juge de quelque chose encore plus facile, si l’on se peut imaginer rien de plus facile que cela."
meditation_1,je,pense,penser,5.46,NAN,"que j’ en userai plus prudemment ,","que j’ en user plus prudemment ,","C’est pourquoi je pense que j’en userai plus prudemment, si prenant un parti contraire, j’emploie tous mes soins à me tromper moi-même, feignant que toutes ces pensées sont fausses et imaginaires, jusques à ce qu’ayant tellement balancé mes préjugés qu’ils ne puissent faire pencher mon avis plus d’un côté que d’un autre, mon jugement ne soit plus désormais maîtrisé par de mauvais usages, et détourné du droit chemin qui le peut conduire à la connaissance de la vérité."
meditation_1,Je,supposerai,supposer,3.29,donc,"qu’ il y a , non point un vrai Dieu qui est la souveraine source de vérité , mais un certain mauvais génie non moins rusé et trompeur que puissant , qui a employé toute son industrie à me tromper","qu’ il y avoir , non point un vrai dieu qui être le souverain source de vérité , mais un certain mauvais génie non moins rusé et trompeur que puissant , qui avoir employer tout son industrie à me tromper","Je supposerai donc qu’il y a, non point un vrai Dieu qui est la souveraine source de vérité, mais un certain mauvais génie non moins rusé et trompeur que puissant, qui a employé toute son industrie à me tromper."
meditation_1,Je,penserai,penser,5.46,NAN,"que le Ciel , l’ air , la terre , les couleurs , les figures , les sons , et toutes les choses extérieures que nous voyons , ne sont que des illusions et tromperies , dont il se sert pour surprendre ma crédulité","que le ciel , l’ air , le terre , le couleur , le figure , le son , et tout le chose extérieur que nous voir , ne être que un illusion et tromperie , dont il se servir pour surprendre mon crédulité","Je penserai que le Ciel, l’air, la terre, les couleurs, les figures, les sons, et toutes les choses extérieures que nous voyons, ne sont que des illusions et tromperies, dont il se sert pour surprendre ma crédulité."
meditation_2,Je,crois,croire,5.03,NAN,"que le corps , la figure , l’ étendue , le mouvement , et le lieu ne sont que des fictions de mon esprit","que le corps , le figure , l’ étendue , le mouvement , et le lieu ne être que un fiction de mon esprit","Je crois que le corps, la figure, l’étendue, le mouvement, et le lieu ne sont que des fictions de mon esprit ;"
meditation_2,j’,pensé,penser,5.46,NAN,que j’ étais un homme,que j’ être un homme,sans difficulté j’ai pensé que j’étais un homme;
meditation_2,je,suppose,supposer,3.29,NAN,"qu’ il y a quelqu’ un , qui est extrêmement puissant , et si je l’ ose dire malicieux et rusé , qui emploie toutes ses forces et toute son industrie à me tromper","qu’ il y avoir quelqu’ un , qui être extrêmement puissant , et si je l’ ose dire malicieux et rusé , qui employer tout son force et tout son industrie à me tromper","Mais moi qui suis-je maintenant que je suppose qu’il y a quelqu’un, qui est extrêmement puissant, et si je l’ose dire malicieux et rusé, qui emploie toutes ses forces et toute son industrie à me tromper ?"
meditation_2,je,trouve,trouver,5.85,ici,que la pensée est un attribut qui m’ appartient,que le pensée être un attribut qui m’ appartenir,et je trouve ici que la pensée est un attribut qui m’appartient.
meditation_2,j’,supposé,supposer,3.29,NAN,"que tout cela n’ était rien , et que sans changer cette supposition , je trouve que je ne laisse pas d’ être certain que je suis quelque chose","que tout celer n’ être rien , et que sans changer ce supposition , je trouver que je ne laisse pas d’ être certain que je être quelque chose","Je ne suis point un air délié et pénétrant répandu dans tous ces membres, je ne suis point un vent, un souffle, une vapeur, ni rien de tout ce que je puis feindre et imaginer, puisque j’ai supposé que tout cela n’était rien, et que sans changer cette supposition, je trouve que je ne laisse pas d’être certain que je suis quelque chose."
meditation_2,je,trouve,trouver,5.85,NAN,que je ne laisse pas d’ être certain que je suis quelque chose,que je ne laisse pas d’ être certain que je être quelque chose,"Je ne suis point un air délié et pénétrant répandu dans tous ces membres, je ne suis point un vent, un souffle, une vapeur, ni rien de tout ce que je puis feindre et imaginer, puisque j’ai supposé que tout cela n’était rien, et que sans changer cette supposition, je trouve que je ne laisse pas d’être certain que je suis quelque chose."
meditation_2,J’,reconnu,reconnaître,6.85,NAN,que j’ étais,que j’ être,"J’ai reconnu que j’étais, et je cherche quel je suis, moi que j’ai reconnu être :"
meditation_2,je,sais,savoir,8.65,certainement,que je suis,que je suivre,"Or je sais déjà certainement que je suis, et que tout ensemble il se peut faire que toutes ces images-là, et généralement toutes les choses que l’on rapporte à la nature du corps, ne soient que des songes ou des chimères."
meditation_2,je,vois,voir,5,clairement,que j’ aurais aussi peu de raison,que j’ avoir aussi peu de raison,"En suite de quoi je vois clairement que j’aurais aussi peu de raison, en disant : j’exciterai mon imagination pour connaître plus distinctement qui je suis, que si je disais : je suis maintenant éveillé, et j’aperçois quelque chose de réel et de véritable, mais parce que je ne l’aperçois pas encore assez nettement, je m’endormirai tout exprès, afin que mes songes me représentent cela même avec plus de vérité et d’évidence."
meditation_2,je,reconnais,reconnaître,6.85,certainement,"que rien de tout ce que je puis comprendre par le moyen de l’ imagination , n’ appartient à cette connaissance que j’ ai de moi - même","que rien de tout ce que je pouvoir comprendre par le moyen de l’ imagination , n’ appartenir à ce connaissance que j’ avoir de moi - même","Et ainsi je reconnais certainement que rien de tout ce que je puis comprendre par le moyen de l’imagination, n’appartient à cette connaissance que j’ai de moi-même ;"
meditation_2,je,juge,juger,7.4,NAN,que ce sont de vrais hommes,que ce être de vrai homme,"Si par hasard je ne regardais d’une fenêtre des hommes qui passent dans la rue, à la vue desquels je ne manque pas de dire que je vois des hommes, tout de même que je dis que je vois de la cire, et cependant que vois-je de cette fenêtre sinon des chapeaux et des manteaux, qui peuvent couvrir des spectres ou des hommes feints qui ne se remuent que par ressorts, mais je juge que ce sont de vrais hommes ;"
meditation_2,je,connais,connaître,7,évidemment,qu’ il n’ y a rien qui me soit plus facile à connaître que mon esprit,qu’ il n’ y avoir rien qui me être plus facile à connaître que mon esprit,"Mais enfin me voici insensiblement revenu où je voulais, car puisque c’est une chose qui m’est à présent connue, qu’à proprement parler nous ne concevons les corps que par la faculté d’entendre qui est en nous, et non point par l’imagination ni par les sens, et que nous ne les connaissons pas de ce que nous les voyons, ou que nous les touchons, mais seulement de ce que nous les concevons par la pensée, je connais évidemment qu’il n’y a rien qui me soit plus facile à connaître que mon esprit."
meditation_3,j’,remarqué,remarquer,7,NAN,que je savais,que je savoir,"Et dans ce peu que je viens de dire, je crois avoir rapporté tout ce que je sais véritablement, ou du moins tout ce que jusques ici j’ai remarqué que je savais."
meditation_3,je,juge,juger,7.4,NAN,"que les idées qui sont en moi , sont semblables ou conformes à des choses qui sont hors de moi","que le idée qui être en moi , être semblable ou conforme à un chose qui être hors de moi","Or la principale erreur, et la plus ordinaire qui s’y puisse rencontrer, consiste en ce que je juge que les idées qui sont en moi, sont semblables ou conformes à des choses qui sont hors de moi ;"
meditation_3,j’,jugé,juger,7.4,NAN,que ces sentiments procédaient de quelques choses qui existent hors de moi,que ce sentiment procéder de quelque chose qui exister hors de moi,"Mais si j’ois maintenant quelque bruit, si je vois le Soleil, si je sens de la chaleur, jusqu’à cette heure j’ai jugé que ces sentiments procédaient de quelques choses qui existent hors de moi ;"
meditation_3,j’,remarqué,remarquer,7,souvent,qu’ elles ne m’ ont pas moins porté au mal qu’ au bien,qu’ lui ne m’ avoir pas moins porter au mal qu’ au bien,"Mais pour ce qui est des inclinations qui me semblent aussi m’être naturelles, j’ai souvent remarqué lorsqu’il a été question de faire choix entre les vertus et les vices, qu’elles ne m’ont pas moins porté au mal qu’au bien, c’est pourquoi je n’ai pas sujet de les suivre non plus, en ce qui regarde le vrai et le faux."
meditation_3,j’,remarqué,remarquer,7,beaucoup,qu’ il y avait une grande différence entre l’ objet et son idée,qu’ il y avoir un grand différence entrer l’ objet et son idée,au contraire j’ai souvent remarqué en beaucoup d’exemples qu’il y avait une grande différence entre l’objet et son idée ;
meditation_3,j’,cru,croire,5.03,NAN,"qu’ il y avait des choses hors de moi , et différentes de mon être , qui par les organes de mes sens , ou par quelque autre moyen que ce puisse être , envoyaient en moi leurs idées ou images , et y imprimaient leurs ressemblances","qu’ il y avoir un chose hors de moi , et différent de mon être , qui par le organe de mon sens , ou par quelque autre moyen que ce pouvoir être , envoyer en moi leur idée ou image , et y imprimer leur ressemblance","Tout cela me fait assez connaître que jusques à cette heure ce n’a point été par un jugement certain et prémédité, mais seulement par une aveugle et téméraire impulsion, que j’ai cru qu’il y avait des choses hors de moi, et différentes de mon être, qui par les organes de mes sens, ou par quelque autre moyen que ce puisse être, envoyaient en moi leurs idées ou images, et y imprimaient leurs ressemblances."
meditation_3,je,connais,connaître,7,clairement,qu’ elles sont vraies,qu’ lui être vrai,"Et d’autant plus longuement et soigneusement j’examine toutes ces choses, d’autant plus clairement et distinctement je connais qu’elles sont vraies."
meditation_3,je,conçois,concevoir,6,facilement,"qu’ elles peuvent être formées par le mélange et la composition des autres idées que j’ ai des choses corporelles , et de Dieu","qu’ lui pouvoir être former par le mélange et le composition de autre idée que j’ avoir de chose corporel , et de Dieu",", je conçois facilement qu’elles peuvent être formées par le mélange et la composition des autres idées que j’ai des choses corporelles, et de Dieu, encore que hors de moi il n’y eût point d’autres hommes dans le monde ni aucuns Animaux, ni aucuns Anges."
meditation_3,je,trouve,trouver,5.85,NAN,"qu’ il ne s’ y rencontre que fort peu de choses que je conçoive clairement , et distinctement , à savoir , la grandeur ou bien l’ extension en longueur , largeur et profondeur","qu’ il ne s’ y rencontre que fort peu de chose que je concevoir clairement , et distinctement , à savoir , le grandeur ou bien l’ extension en longueur , largeur et profondeur","Car si je les considère de plus près, et si je les examine de la même façon que j’examinai hier l’idée de la cire, je trouve qu’il ne s’y rencontre que fort peu de choses que je conçoive clairement, et distinctement, à savoir, la grandeur ou bien l’extension en longueur, largeur et profondeur ;"
meditation_3,j’,remarqué,remarquer,7,devant,qu’ il n’ y a que dans les jugements que se puisse rencontrer la vraie et formelle fausseté,qu’ il n’ y avoir que dans le jugement que se pouvoir rencontrer le vrai et formel fausseté,"Car encore que j’aie remarqué ci-devant, qu’il n’y a que dans les jugements que se puisse rencontrer la vraie et formelle fausseté, il se peut néanmoins trouver dans les idées une certaine fausseté matérielle, à savoir, lorsqu’elles représentent ce qui n’est rien, comme si c’était quelque chose :"
meditation_3,je,pense,penser,5.46,NAN,"que la pierre est une substance , ou bien une chose qui de soi est capable d’ exister","que le pierre être un substance , ou bien un chose qui de soi être capable d’ exister","Car lorsque je pense que la pierre est une substance, ou bien une chose qui de soi est capable d’exister ;"
meditation_3,je,conçoive,concevoir,6,bien,"que je suis une chose qui pense , et non étendue","que je être un chose qui penser , et non étendre","puisque je suis une substance, quoique je conçoive bien que je suis une chose qui pense, et non étendue ;"
meditation_3,je,pense,penser,5.46,NAN,"que je suis maintenant , et que je me ressouviens outre cela d’ avoir été autrefois , et que je conçois plusieurs diverses pensées dont je connais le nombre","que je suivre maintenant , et que je me ressouvenir outre celer d’ avoir être autrefois , et que je concevoir plusieurs divers pensée dont je connaître le nombre","De même quand je pense que je suis maintenant, et que je me ressouviens outre cela d’avoir été autrefois, et que je conçois plusieurs diverses pensées dont je connais le nombre, alors j’acquiers en moi les idées de la durée et du nombre, lesquelles par après je puis transférer à toutes les autres choses que je voudrai."
meditation_3,je,vois,voir,5,manifestement,"qu’ il se rencontre plus de réalité dans la substance infinie , que dans la substance finie , et partant que j’ ai en quelque façon premièrement en moi la notion de l’ infini , que du fini , c’ est à dire de Dieu , que de moi - même :","qu’ il se rencontre plus de réalité dans le substance infini , que dans le substance fini , et partir que j’ avoir en quelque façon premièrement en moi le notion de l’ infini , que de fini , c’ est à dire de Dieu , que de moi - même :","Puisqu’au contraire je vois manifestement qu’il se rencontre plus de réalité dans la substance infinie, que dans la substance finie, et partant que j’ai en quelque façon premièrement en moi la notion de l’infini, que du fini, c’est à dire de Dieu, que de moi-même :"
meditation_3,je,juge,juger,7.4,NAN,"que toutes les choses que je conçois clairement , et dans lesquelles je sais qu’ il y a quelque perfection , et peut-être aussi une infinité d’ autres que j’ ignore , sont en Dieu formellement ou éminemment , afin que l’ idée que j’ en ai soit la plus vraie , la plus claire , et la plus distincte de toutes celles qui sont en mon esprit","que tout le chose que je concevoir clairement , et dans lequel je savoir qu’ il y avoir quelque perfection , et peut-être aussi un infinité d’ autre que j’ ignorer , être en dieu formellement ou éminemment , afin que l’ idée que j’ en avoir être le plus vrai , le plus clair , et le plus distinct de tout celui qui être en mon esprit","et il suffit que je conçoive bien cela, et que je juge que toutes les choses que je conçois clairement, et dans lesquelles je sais qu’il y a quelque perfection, et peut-être aussi une infinité d’autres que j’ignore, sont en Dieu formellement ou éminemment, afin que l’idée que j’en ai soit la plus vraie, la plus claire, et la plus distincte de toutes celles qui sont en mon esprit."
meditation_3,je,sais,savoir,8.65,NAN,"qu’ il y a quelque perfection , et peut-être aussi une infinité d’ autres que j’ ignore , sont en Dieu formellement ou éminemment","qu’ il y avoir quelque perfection , et peut-être aussi un infinité d’ autre que j’ ignorer , être en dieu formellement ou éminemment","et il suffit que je conçoive bien cela, et que je juge que toutes les choses que je conçois clairement, et dans lesquelles je sais qu’il y a quelque perfection, et peut-être aussi une infinité d’autres que j’ignore, sont en Dieu formellement ou éminemment, afin que l’idée que j’en ai soit la plus vraie, la plus claire, et la plus distincte de toutes celles qui sont en mon esprit."
meditation_3,je,reconnais,reconnaître,6.85,NAN,que cela ne peut être,que celer ne pouvoir être,"Toutefois en y regardant un peu de prés, je reconnais que cela ne peut être ;"
meditation_3,je,conçois,concevoir,6,NAN,qu’ il ne se peut rien ajouter à la souveraine perfection qu’ il possède,qu’ il ne se pouvoir rien ajouter à le souverain perfection qu’ il posséder,"Mais je conçois Dieu actuellement infini en un si haut degré, qu’il ne se peut rien ajouter à la souveraine perfection qu’il possède."
meditation_3,je,connais,connaître,7,évidemment,que je dépens de quelque être différent de moi,que je dépens de quelque être différent de moi,"mais je n’en ressens aucune dans moi, et par là je connais évidemment que je dépens de quelque être différent de moi."
meditation_3,je,juge,juger,7.4,NAN,"que moi , c’ est à dire mon Esprit , lequel seul je prends maintenant pour moi - même , se trouve renfermé","que moi , c’ est à dire mon esprit , lequel seul je prendre maintenant pour moi - même , se trouver renfermer","encore que tout ce que j’en ai jamais pu croire soit véritable, cela ne fait pas toutefois que ce soit eux qui me conservent, ni qui m’aient fait et produit en tant que je suis une chose qui pense, puisqu’ils ont seulement mis quelques dispositions dans cette matière, en laquelle je juge que moi, c’est à dire mon Esprit, lequel seul je prends maintenant pour moi-même, se trouve renfermé ;"
meditation_3,je,connais,connaître,7,aussi,"que je suis une chose imparfaite , incomplète , et dépendante d’ autrui , qui tend et qui aspire sans cesse à quelque chose de meilleur et de plus grand que je ne suis","que je être un chose imparfait , incomplet , et dépendant d’ autrui , qui tendre et qui aspirer sans cesse à quelque chose de meilleur et de plus grand que je ne suivre","c’est à dire que lorsque je fais réflexion sur moi, non seulement je connais que je suis une chose imparfaite, incomplète, et dépendante d’autrui, qui tend et qui aspire sans cesse à quelque chose de meilleur et de plus grand que je ne suis, mais je connais aussi en même temps, que celui duquel je dépens possède en soi toutes ces grandes choses auxquelles j’aspire, et dont je trouve en moi les idées, non pas indéfiniment, et seulement en puissance, mais qu’il en jouit en effet, actuellement, et infiniment, et ainsi qu’il est Dieu :"
