Divs,Source,VAP,Lemma,VAP_values,ADV,Target,Target_lemma,Phrase Complete
L1_CH_01,je,crois,croire,5.03,NAN,"qu’ il n’ y en a point d’ innées , non plus que de principes innés","qu’ il n’ y en avoir point d’ innée , non plus que de principe inné","Quant à l’origine des idées, je crois avec cet auteur et quantité d’habiles gens qu’il n’y en a point d’innées, non plus que de principes innés."
L1_CH_01,je,crois,croire,5.03,même,"que toutes les pensées et actions de notre âme viennent de son propre fond , sans pouvoir lui être données par les sens , comme vous allez voir dans la suite","que tout le pensée et action de notre âme venir de son propre fond , sans pouvoir luire être donner par le sens , comme vous aller voir dans le suite","Maintenant je vais encore plus loin, en conformité du nouveau système, et je crois même que toutes les pensées et actions de notre âme viennent de son propre fond, sans pouvoir lui être données par les sens, comme vous allez voir dans la suite."
L1_CH_01,nous,jugerons,juger,7.4,NAN,que la doctrine externe ne fait qu’ exciter ici ce qui est en nous,que le doctrine externe ne faire qu’ exciter ici ce qui être en nous,Mais nous jugerons dans la suite que la doctrine externe ne fait qu’exciter ici ce qui est en nous.
L1_CH_01,je,crois,croire,5.03,NAN,que vous avez raison,que vous avoir raison,"En cela, je crois que vous avez raison : et cette affirmation trop générale que nous nous apercevons toujours de toutes les vérités qui sont dans notre âme, m’est échappée sans que j’y aie donné assez d’attention."
L1_CH_01,je,crois,croire,5.03,Cependant,"que dans votre exemple , il s’ agit de se servir des idées déjà formées","que dans votre exemple , il s’ agir de se servir de idée déjà former","Cependant je crois que dans votre exemple, il s’agit de se servir des idées déjà formées."
L1_CH_01,j’,remarquer,remarquer,7,NAN,"qu’ outre cela , il a la faculté de les trouver en soi et la disposition à les approuver quand il y pense comme il faut","qu’ outre celer , il avoir le faculté de le trouver en soi et le disposition à le approuver quand il y penser comme il falloir","car j’ai fait remarquer qu’outre cela, il a la faculté de les trouver en soi et la disposition à les approuver quand il y pense comme il faut."
L1_CH_01,Je,crois,croire,5.03,NAN,qu’ il faut raisonner tout autrement ici,qu’ il falloir raisonner tout autrement ici,Je crois qu’il faut raisonner tout autrement ici.
L1_CH_02,Je,reconnais,reconnaître,6.85,aussi,"que certaines règles de la justice ne sauraient être démontrées dans toute leur étendue et perfection , qu’ en supposant l’ existence de Dieu et l’ immortalité de l’ âme","que certain règle de le justice ne savoir être démontrer dans tout son étendue et perfection , qu’ en supposer l’ existence de Dieu et l’ immortalité de l’ âme","Je reconnais aussi que certaines règles de la justice ne sauraient être démontrées dans toute leur étendue et perfection, qu’en supposant l’existence de Dieu et l’immortalité de l’âme ;"
L1_CH_02,j’,trouvé,trouver,5.85,NAN,que la plupart des doctrines reçues peuvent souffrir un bon sens,que le plupart de doctrine recevoir pouvoir souffrir un bon sens,"Et après avoir médité sur l’ancien et sur le nouveau, j’ai trouvé que la plupart des doctrines reçues peuvent souffrir un bon sens."
L1_CH_03,Je,vois,voir,5,bien,"que je vous objecterais en vain que l’ axiome qui porte que le tout est plus grand que sa partie n’ est point inné , sous prétexte que les idées du tout et de la partie sont relatives , dépendant de celles du nombre et de l’ étendue :","que je vous objecter en vain que l’ axiome qui porte que le tout être plus grand que son partie n’ être point inné , sou prétexte que le idée de tout et de le partie être relatif , dépendre de celui de nombre et de l’ étendue :","Je vois bien que je vous objecterais en vain que l’axiome qui porte que le tout est plus grand que sa partie n’est point inné, sous prétexte que les idées du tout et de la partie sont relatives, dépendant de celles du nombre et de l’étendue :"
