Divs,Phrases
meditation_1,"Il y a déjà quelque temps que je me suis aperçu, que dès mes premières années j’avais reçu quantité de fausses opinions pour véritables, et que ce que j’ai depuis fondé sur des principes si mal assurés, ne pouvait être que fort douteux et incertain; de façon qu’il me fallait entreprendre sérieusement une fois en ma vie, de me défaire de toutes les opinions que j’avais reçues jusques alors en ma créance, et commencer tout de nouveau dès les fondements, si je voulais établir quelque chose de ferme, et de constant dans les sciences."
meditation_1,"Mais cette entreprise me semblant être fort grande, j’ai attendu que j’eusse atteint un âge qui fût si mûr, que je n’en pusse espérer d’autre après lui auquel je fusse plus propre à l’exécuter : ce qui m’a fait différer si longtemps, que désormais je croirais commettre une faute, si j’employais encore à délibérer le temps qui me reste pour agir."
meditation_1,"Maintenant donc que mon esprit est libre de tous soins, et que je me suis procuré un repos assuré dans une paisible solitude, je m’appliquerai sérieusement et avec liberté à détruire généralement toutes mes anciennes opinions."
meditation_1,"Or il ne sera pas nécessaire pour arriver à ce dessein de prouver qu’elles sont toutes fausses, de quoi peut-être je ne viendrais jamais à bout ; mais d’autant que la raison me persuade déjà, que je ne dois pas moins soigneusement m’empêcher de donner créance aux choses qui ne sont pas entièrement certaines et indubitables, qu’à celles qui nous paraissent manifestement être fausses, le moindre sujet de douter que j’y trouverai, suffira pour me les faire toutes rejeter."
meditation_1,"Et pour cela il n’est pas besoin que je les examine chacune en particulier, ce qui serait d’un travail infini : mais parce que la ruine des fondements entraîne nécessairement avec soi tout le reste de l’édifice, je m’attaquerai d’abord aux principes sur lesquels toutes mes anciennes opinions étaient appuyées."
meditation_1,"Tout ce que j’ai reçu jusqu’à présent pour le plus vrai, et assuré, je l’ai appris des sens, ou par les sens : Or j’ai quelquefois éprouvé que ces sens étaient trompeurs, et il est de la prudence de ne se fier jamais entièrement à ceux qui nous ont une fois trompés."
meditation_1,"Mais encore que les sens nous trompent quelquefois touchant les choses peu sensibles, et fort éloignées,il s’en rencontre peut-être beaucoup d’autres, desquelles on ne peut pas raisonnablement douter, quoique nous les connaissions par leur moyen ;"
meditation_1," Par exemple, que je sois ici, assis auprès du feu, vêtu d’une robe de chambre,ayant ce papier entre les mains, et autres choses de cette nature"
meditation_1,Et comment est-ce que je pourrais nier que ces mains et ce corps-ci soient à moi ?
meditation_1,"si ce n’est peut-être que je me compare à de qui le cerveau est tellement troublé et offusqué par les noires vapeurs de la bile, qu’ils assurent constamment qu’ils sont des Rois, lorsqu’ils sont très pauvres, qu’ils sont vêtus d’or et de pourpre, lorsqu’ils sont tout nus, ou s’imaginent être des cruches, ou avoir un corps de verre."
meditation_1,"Mais quoi ce font des fous, et je ne serais pas moins extravagant, si je me réglais sur leurs exemples."
meditation_1,"Toutefois j’ai ici à considérer que je suis homme, et par conséquent que j’ai coutume de dormir, et de me représenter en mes songes les mêmes choses, ou quelquefois de moins vraisemblables, que ces insensés, lorsqu’ils veillent."
meditation_1,"Combien de fois m’est-il arrivé de songer la nuit que j’étais en ce lieu, que j’étais habillé, que j’étais auprès du feu, quoique je fusse tout nud dedans mon lit."
meditation_1,"Il me semble bien à présent que ce n’est point avec des yeux endormis que je regarde ce papier, que cette tête que je remue n’est point assoupie, que c’est avec dessein, et de propos délibéré que j’étends cette main, et que je la sens, ce qui arrive dans le sommeil ne semble point si clair, ni si distinct que tout ceci."
meditation_1,"Mais en y pensant soigneusement je me ressouviens d’avoir été souvent trompé, lorsque je dormais, par de semblables illusions."
