Divs,Phrases
L1_CH_01,Philalèthe.
L1_CH_01,"Ayant repasse la mer après avoir achevé les affaires en Angleterre, j’ai pensé d’abord il vous rendre visite, Monsieur, pour cultiver notre ancienne amitié, et pour vous entretenir des matières qui nous tiennent fort au cœur, à vous à moi, et où je crois avoir acquis de nouvelles lumières pendant mon séjour à Londres."
L1_CH_01,"Lorsque nous demeurions autrefois tout proche l’un de l’autre à Amsterdam, nous prenions beaucoup de plaisir tous deux à faire des recherches sur les principes et sur les moyens de pénétrer dans l’intérieur des choses."
L1_CH_01,"Quoique nos sentiments fussent souvent différents, cette diversité augmentait notre satisfaction lorsque nous en conférions ensemble, sans que la contrariété qu’il y avait quelquefois y mêlât rien de désagréable."
L1_CH_01,"Vous étiez pour Descartes, et pour les opinions du célèbre auteur de la Recherche de la vérité ; et moi je trouvais les sentiments de Gassendi, éclaircis par Rernier, plus faciles et plus naturels."
L1_CH_01,"Maintenant, je me sens excrément fortifié par l’excellent ouvrage qu’un illustre Anglais, que j’ai l’honneur de connaître particulièrement, a publié depuis, et qu’on a réimprimé plusieurs fois en Angleterre, sous le titre modeste d’Essais concernant l’enterrement humain."
L1_CH_01,"Et je suis ravi qu’il paraît depuis peu en latin et en français, afin qu’il puisse être d’une utilité plus-générale."
L1_CH_01,"J’ai fort profité de la lecture de cet ouvrage et même de la conversation de l’auteur, que j’ai entretenu souvent à Londres et quelquefois à Oates, chez milady Masham, digne fille du célèbre M. Cudworth, grand philosophe et théologien anglais, auteur du Système intellectuel dont elle a hérité l’esprit de méditation et l’amour des belles connaissances, qui paraît particulièrement par l’amitié qu’elle entretient avec l’auteur de l’Essai, et comme il a été attaqué par quelques docteurs de mérite, j’ai pris plaisir à lire aussi l’apologie, qu’une demoiselle fort sage et fort spirituelle a faite pour lui, outre celles qu’il a faites lui-même."
L1_CH_01,"Cet auteur est assez dans le système de M. Gassendi, qui est dans le fond celui de Démocrite."
L1_CH_01,"Il est pour le vide et pour les atomes ; il croit que la matière pourrait penser ; qu’il n’y a point d’idées innées ; que notre esprit est tabula rosa, et que nous ne pensons pas toujours ; il paraît d’Humeur à approuver la plus grande partie des objections que M. Gassendi a faites à M. Descartes."
L1_CH_01,"Il a enrichi et renforcé ce système par mille belles réflexions ; et je ne doute point que maintenant notre parti ne triomphe hautement de ses adversaires, les péripatéticiens et les cartésiens."
L1_CH_01,"C’est pourquoi, si vous n’avez pas encore lu ce livre, je vous y invite ; et, si vous l’avez lu, je vous supplie de m’en dire votre sentiment."
L1_CH_01,Théophile.
L1_CH_01,"Je me réjouis de vous voir de retour après une longue absence, heureux dans la conclusion de votre importante affaire, plein de santé, ferme dans l’amitié pour moi, et toujours porté avec une ardeur égale à la recherche des plus importantes vérités."
L1_CH_01,"Je n’ai pas moins continué mes méditations dans le même esprit ; et je crois d’avoir profité aussi autant et peut-être plus que vous, si je ne me flatte pas."
L1_CH_01,"Aussi en avais-je plus besoin que vous, car vous étiez plus avancé que moi."
L1_CH_01,"Vous aviez plus de commerce avec les philosophes spéculatifs, et j’avais plus de penchant vers la morale."
L1_CH_01,"Mais j’ai appris de plus en plus combien la morale reçoit d’affermissement des principes solides de la véritable philosophie, c’est pourquoi je les ai étudiés depuis avec plus d’application, et je suis entré dans des méditations assez nouvelles."
L1_CH_01,De sorte que nous aurons de quoi nous donner un plaisir réciproque et de longue durée en nous communiquant l’un à l’autre nos éclaircissements.
L1_CH_01,"Mais il faut que je vous dise pour nouvelle que je ne suis plus cartésien, et que cependant je suis éloigné plus que jamais de votre Gassendi, dont je reconnais d’ailleurs le savoir et le mérite."
